time,jogos,pontos,vitorias,empates,derrotas,gols_pro,gols_contra,saldo_gols,posicao_r19,temporada,aproveitamento,distancia_para_16,distancia_para_z4,pontos_por_jogo,gols_pro_por_jogo,gols_contra_por_jogo,saldo_por_jogo,aproveitamento_ultimos_5,variacao_posicao_ultimas_5,percentual_pontos_casa,percentual_pontos_fora,posicao_final,rebaixado,serie_a_last_5,previous_season_position,previous_season_score,squad_strength_0_100,recent_points_last5,recent_goal_diff_last5,elo_ajustado
Coritiba,19,17,3,8,8,14,18,-4,18,2014,0.2982456140350877,-1,-1,0.8947368421052632,0.7368421052631579,0.9473684210526315,-0.21052631578947367,0.3333333333333333,2,0.5882352941176471,0.4117647058823529,14,0,0.0,22.0,-1.0,48.6,5.0,-1.0526315789473684,1452.3812511913577
Bahia,19,17,3,8,8,11,17,-6,19,2014,0.2982456140350877,-1,-1,0.8947368421052632,0.5789473684210527,0.8947368421052632,-0.3157894736842105,0.26666666666666666,-1,0.5294117647058824,0.47058823529411764,18,1,0.0,22.0,-1.0,48.6,4.0,-1.5789473684210527,1547.2180917243513
Vitoria,19,15,3,6,10,17,27,-10,20,2014,0.2631578947368421,-3,-3,0.7894736842105263,0.8947368421052632,1.4210526315789473,-0.5263157894736842,0.06666666666666667,-4,0.4,0.6,17,1,0.0,22.0,-1.0,48.6,1.0,-2.631578947368421,1632.4354148223447
Corinthians,19,40,12,4,3,27,14,13,1,2015,0.7017543859649122,20,21,2.1052631578947367,1.4210526315789473,0.7368421052631579,0.6842105263157895,0.7333333333333333,1,0.6,0.4,1,0,1.0,4.0,17.0,79.8,11.0,3.4210526315789473,1761.101341751857
Atletico-MG,19,36,11,3,5,33,18,15,2,2015,0.631578947368421,16,17,1.894736842105263,1.736842105263158,0.9473684210526315,0.7894736842105263,0.4666666666666667,-1,0.6111111111111112,0.3888888888888889,2,0,1.0,5.0,16.0,78.4,7.0,3.947368421052632,1539.0397501401658
Gremio,19,36,11,3,5,29,17,12,3,2015,0.631578947368421,16,17,1.894736842105263,1.5263157894736843,0.8947368421052632,0.631578947368421,0.6666666666666666,2,0.7222222222222222,0.2777777777777778,3,0,1.0,7.0,14.0,75.6,10.0,3.1578947368421053,1612.9657922808278
Fluminense,19,33,10,3,6,22,18,4,4,2015,0.5789473684210527,13,14,1.736842105263158,1.1578947368421053,0.9473684210526315,0.21052631578947367,0.4,-1,0.696969696969697,0.30303030303030304,13,0,1.0,6.0,15.0,77.0,6.0,1.0526315789473684,1635.4776854696022
Palmeiras,19,31,9,4,6,32,18,14,5,2015,0.543859649122807,11,12,1.631578947368421,1.6842105263157894,0.9473684210526315,0.7368421052631579,0.4,1,0.6451612903225806,0.3548387096774194,9,0,1.0,16.0,5.0,63.0,6.0,3.6842105263157894,1725.3631138841113
Sao Paulo,19,31,9,4,6,25,21,4,6,2015,0.543859649122807,11,12,1.631578947368421,1.3157894736842106,1.105263157894737,0.21052631578947367,0.4666666666666667,1,0.6774193548387096,0.3225806451612903,4,0,1.0,2.0,19.0,82.6,7.0,1.0526315789473684,1614.986986437013
Sport,19,31,7,10,2,31,21,10,7,2015,0.543859649122807,11,12,1.631578947368421,1.631578947368421,1.105263157894737,0.5263157894736842,0.26666666666666666,-3,0.7741935483870968,0.22580645161290322,6,0,1.0,11.0,10.0,70.0,4.0,2.631578947368421,1509.7041382172438
Athletico-PR,19,30,9,3,7,23,21,2,8,2015,0.5263157894736842,10,11,1.5789473684210527,1.2105263157894737,1.105263157894737,0.10526315789473684,0.5333333333333333,0,0.7,0.3,10,0,1.0,8.0,13.0,74.2,8.0,0.5263157894736842,1465.660972752581
Chapecoense,19,28,8,4,7,17,17,0,9,2015,0.49122807017543857,8,9,1.4736842105263157,0.8947368421052632,0.8947368421052632,0.0,0.6,0,0.8214285714285714,0.17857142857142858,14,0,1.0,15.0,6.0,64.4,9.0,0.0,1285.7921048608812
Ponte Preta,19,26,6,8,5,21,21,0,10,2015,0.45614035087719296,6,7,1.368421052631579,1.105263157894737,1.105263157894737,0.0,0.5333333333333333,1,0.6538461538461539,0.34615384615384615,11,0,0.0,22.0,-1.0,48.6,8.0,0.0,1434.131304107345
Internacional,19,25,6,7,6,14,21,-7,11,2015,0.43859649122807015,5,6,1.3157894736842106,0.7368421052631579,1.105263157894737,-0.3684210526315789,0.4,-1,0.68,0.32,5,0,1.0,3.0,18.0,81.2,6.0,-1.8421052631578947,1713.8957545418189
Santos,19,24,6,6,7,25,24,1,12,2015,0.42105263157894735,4,5,1.263157894736842,1.3157894736842106,1.263157894736842,0.05263157894736842,0.7333333333333333,5,0.8333333333333334,0.16666666666666666,7,0,1.0,9.0,12.0,72.8,11.0,0.2631578947368421,1506.5020341558495
